,X_Ray_Class,X_Ray_Intensity,NOAA_Number_flare,Date_x,magnetic_classification,NOAA,zurich_class,penumbra_class,compactness_class,No_of_spots,longitudanal_extent,Area,Status
132,,,,2000-07-20 13:30:00, B  ,9098,B,X,O,4.0,3.0,10.0,Unassociated
133,,,,2000-07-21 06:11:00, A  ,9079,H,S,X,1.0,2.0,30.0,Unassociated
134,,,,2000-07-21 12:30:00, B  ,9080,D,S,O,2.0,2.0,100.0,Unassociated
135,,,,2000-07-22 01:13:00, A  ,9084,H,S,X,1.0,1.0,30.0,Unassociated
136,,,,2000-07-23 11:35:00, A  ,9081,H,S,X,1.0,1.0,20.0,Unassociated
137,,,,2000-07-27 16:25:00, A  ,9102,A,X,X,3.0,1.0,10.0,Unassociated
138,,,,2000-07-28 16:00:00, A  ,9094,A,X,X,1.0,1.0,10.0,Unassociated
139,,,,2000-07-28 16:00:00, A  ,9096,A,X,X,1.0,1.0,10.0,Unassociated
140,,,,2000-07-29 01:29:00, B  ,9101,B,X,O,3.0,3.0,10.0,Unassociated
141,,,,2000-07-30 05:08:00, B  ,9106,C,R,O,5.0,5.0,30.0,Unassociated
142,,,,2000-08-01 01:20:00, A  ,9099,H,S,X,1.0,2.0,60.0,Unassociated
143,,,,2000-08-02 11:30:00, B  ,9109,D,S,O,2.0,2.0,20.0,Unassociated
